id,supported_engines,locations,spec,monthly_cost,numbers_of_node
vultr-dbaas-hobbyist-cc-1-25-1,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 1024, 'disk': 25}",15,1
vultr-dbaas-startup-cc-1-55-2,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 2048, 'disk': 55}",30,1
vultr-dbaas-business-cc-1-55-2,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 2048, 'disk': 55}",50,2
vultr-dbaas-premium-cc-1-55-2,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 2048, 'disk': 55}",70,3
vultr-dbaas-startup-cc-2-80-4,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 4096, 'disk': 80}",60,1
vultr-dbaas-business-cc-2-80-4,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 4096, 'disk': 80}",100,2
vultr-dbaas-premium-cc-2-80-4,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 4096, 'disk': 80}",140,3
vultr-dbaas-startup-cc-4-160-8,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 4, 'ram': 8192, 'disk': 160}",120,1
vultr-dbaas-business-cc-4-160-8,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 4, 'ram': 8192, 'disk': 160}",200,2
vultr-dbaas-premium-cc-4-160-8,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 4, 'ram': 8192, 'disk': 160}",280,3
vultr-dbaas-startup-cc-4-320-16,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 6, 'ram': 16384, 'disk': 320}",240,1
vultr-dbaas-business-cc-4-320-16,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 6, 'ram': 16384, 'disk': 320}",400,2
vultr-dbaas-premium-cc-4-320-16,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 6, 'ram': 16384, 'disk': 320}",560,3
vultr-dbaas-startup-cc-8-640-32,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 8, 'ram': 32768, 'disk': 640}",480,1
