Type,Category,Name,Processor / Cores,GPU,GPU type,Memory,Storage,Bandwidth,Price,,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-1c-4gb-30s,1 vCPU,No,N/A,4GB,30GB NVMe,4TB/mo,$30.00/mo,,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-2c-8gb-50s,2 vCPU,No,N/A,8GB,50GB NVMe,5TB/mo,$60.00/mo,,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-4c-16gb-50s,4 vCPU,No,N/A,16GB,50GB NVMe,6TB/mo,$120.00/mo,,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-8c-32gb-160s,8 vCPU,No,N/A,32GB,160GB NVMe,7TB/mo,$240.00/mo,,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-16c-64gb-320s,16 vCPU,No,N/A,32GB,320GB NVMe,8TB/mo,$480.00/mo,,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-24c-96gb-480s,24 vCPU,No,N/A,96GB,480GB NVMe,9TB/mo,$720.00/mo,,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-32c-128gb-640s,32 vCPU,No,N/A,128GB,640GB NVMe,9TB/mo,$960.00/mo,,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-40c-160gb-768s,40 vCPU,No,N/A,160GB,768GB NVMe,10TB/mo,"$1,200.00/mo",,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-64c-192gb-960s,64 vCPU,No,N/A,192GB,960GB NVMe,11TB/mo,"$1,920.00/mo",,,,,,,,,,
Dedicated_CPU,General Purpose,voc-g-96c-256gb-1280s,96 vCPU,No,N/A,256GB,1280GB NVMe,12TB/mo,"$3,840.00/mo",,,,,,,,,,
Dedicated_CPU,CPU Optimized,voc-c-1c-2gb-25s,1 vCPU,No,N/A,2GB,25GB NVMe,4TB/mo,$28.00/mo,,,,,,,,,,
Dedicated_CPU,CPU Optimized,voc-c-2c-4gb-50s,2 vCPU,No,N/A,4GB,50GB NVMe,5TB/mo,$40.00/mo,,,,,,,,,,
Dedicated_CPU,CPU Optimized,voc-c-2c-4gb-75s,2 vCPU,No,N/A,4GB,75GB NVMe,5TB/mo,$45.00/mo,,,,,,,,,,
