id,locations,vcpu_count,ram,disk,bandwidth,monthly_cost,disk_type
vc2-1c-0.5gb-free,"sea,fra,mia",1,512,10,0,0,SSD
vc2-1c-0.5gb-v6,"ewr,atl",1,512,10,512,2.5,SSD
vc2-1c-0.5gb,ewr,1,512,10,512,3.5,SSD
vc2-1c-1gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",1,1024,25,1024,5,SSD
vc2-1c-1gb-sc1,sao,1,1024,25,1024,7.5,SSD
vc2-1c-2gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",1,2048,55,2048,10,SSD
vc2-1c-2gb-sc1,sao,1,2048,55,2048,15,SSD
vc2-2c-2gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",2,2048,65,3072,15,SSD
vc2-2c-2gb-sc1,sao,2,2048,65,3072,22.5,SSD
vc2-2c-4gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",2,4096,80,3072,20,SSD
vc2-2c-4gb-sc1,sao,2,4096,80,3072,30,SSD
vc2-4c-8gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",4,8192,160,4096,40,SSD
vc2-4c-8gb-sc1,sao,4,8192,160,4096,60,SSD
vc2-6c-16gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",6,16384,320,5120,80,SSD
vc2-6c-16gb-sc1,sao,6,16384,320,5120,120,SSD
vc2-8c-32gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",8,32768,640,6144,160,SSD
vc2-8c-32gb-sc1,sao,8,32768,640,6144,240,SSD
vc2-16c-64gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,del,scl,itm,man",16,65536,1280,10240,320,SSD
vc2-16c-64gb-sc1,sao,16,65536,1280,10240,480,SSD
vc2-24c-96gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,del,scl,itm,man",24,98304,1600,15360,640,SSD
vc2-24c-96gb-sc1,sao,24,98304,1600,15360,960,SSD
vhf-1c-1gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",1,1024,32,1024,6,HIGHFREQUENCY
vhf-1c-1gb-sc1,sao,1,1024,32,1024,9,HIGHFREQUENCY
vhf-1c-2gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",1,2048,64,2048,12,HIGHFREQUENCY
vhf-1c-2gb-sc1,sao,1,2048,64,2048,18,HIGHFREQUENCY
vhf-2c-2gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",2,2048,80,3072,18,HIGHFREQUENCY
vhf-2c-2gb-sc1,sao,2,2048,80,3072,27,HIGHFREQUENCY
vhf-2c-4gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",2,4096,128,3072,24,HIGHFREQUENCY
vhf-2c-4gb-sc1,sao,2,4096,128,3072,36,HIGHFREQUENCY
vhf-3c-8gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",3,8192,256,4096,48,HIGHFREQUENCY
vhf-3c-8gb-sc1,sao,3,8192,256,4096,72,HIGHFREQUENCY
vhf-4c-16gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",4,16384,384,5120,96,HIGHFREQUENCY
vhf-4c-16gb-sc1,sao,4,16384,384,5120,144,HIGHFREQUENCY
vhf-6c-24gb,"ewr,ord,dfw,sea,lax,atl,ams,lhr,fra,sjc,syd,yto,cdg,nrt,waw,mad,icn,mia,sgp,sto,mex,mel,bom,jnb,tlv,blr,del,scl,itm,man",6,24576,448,6144,144,HIGHFREQUENCY
vhf-6c-24gb-sc1,sao,6,24576,448,6144,216,HIGHFREQUENCY
